
Minimum time:  760	(0.076 ms)

Test #		Time
1:		1183	(0.1183 ms)
2:		891	(0.0891 ms)
3:		966	(0.0966 ms)
4:		890	(0.089 ms)
5:		879	(0.0879 ms)
6:		911	(0.0911 ms)
7:		856	(0.0856 ms)
8:		854	(0.0854 ms)
9:		891	(0.0891 ms)
10:		840	(0.084 ms)
11:		841	(0.0841 ms)
12:		879	(0.0879 ms)
13:		839	(0.0839 ms)
14:		839	(0.0839 ms)
15:		889	(0.0889 ms)
16:		835	(0.0835 ms)
17:		832	(0.0832 ms)
18:		889	(0.0889 ms)
19:		838	(0.0838 ms)
20:		817	(0.0817 ms)
21:		876	(0.0876 ms)
22:		833	(0.0833 ms)
23:		829	(0.0829 ms)
24:		868	(0.0868 ms)
25:		831	(0.0831 ms)
26:		830	(0.083 ms)
27:		881	(0.0881 ms)
28:		834	(0.0834 ms)
29:		830	(0.083 ms)
30:		866	(0.0866 ms)
31:		829	(0.0829 ms)
32:		824	(0.0824 ms)
33:		881	(0.0881 ms)
34:		832	(0.0832 ms)
35:		825	(0.0825 ms)
36:		868	(0.0868 ms)
37:		828	(0.0828 ms)
38:		833	(0.0833 ms)
39:		1565	(0.1565 ms)
40:		1741	(0.1741 ms)
41:		1715	(0.1715 ms)
42:		1695	(0.1695 ms)
43:		883	(0.0883 ms)
44:		821	(0.0821 ms)
45:		893	(0.0893 ms)
46:		844	(0.0844 ms)
47:		830	(0.083 ms)
48:		880	(0.088 ms)
49:		826	(0.0826 ms)
50:		826	(0.0826 ms)
51:		867	(0.0867 ms)
52:		829	(0.0829 ms)
53:		825	(0.0825 ms)
54:		896	(0.0896 ms)
55:		830	(0.083 ms)
56:		829	(0.0829 ms)
57:		871	(0.0871 ms)
58:		840	(0.084 ms)
59:		825	(0.0825 ms)
60:		860	(0.086 ms)
61:		808	(0.0808 ms)
62:		816	(0.0816 ms)
63:		858	(0.0858 ms)
64:		827	(0.0827 ms)
65:		823	(0.0823 ms)
66:		866	(0.0866 ms)
67:		818	(0.0818 ms)
68:		803	(0.0803 ms)
69:		852	(0.0852 ms)
70:		838	(0.0838 ms)
71:		827	(0.0827 ms)
72:		860	(0.086 ms)
73:		818	(0.0818 ms)
74:		801	(0.0801 ms)
75:		822	(0.0822 ms)
76:		868	(0.0868 ms)
77:		826	(0.0826 ms)
78:		823	(0.0823 ms)
79:		862	(0.0862 ms)
80:		829	(0.0829 ms)
81:		823	(0.0823 ms)
82:		896	(0.0896 ms)
83:		830	(0.083 ms)
84:		826	(0.0826 ms)
85:		868	(0.0868 ms)
86:		824	(0.0824 ms)
87:		822	(0.0822 ms)
88:		857	(0.0857 ms)
89:		823	(0.0823 ms)
90:		821	(0.0821 ms)
91:		865	(0.0865 ms)
92:		822	(0.0822 ms)
93:		826	(0.0826 ms)
94:		881	(0.0881 ms)
95:		829	(0.0829 ms)
96:		811	(0.0811 ms)
97:		857	(0.0857 ms)
98:		825	(0.0825 ms)
99:		825	(0.0825 ms)
100:		863	(0.0863 ms)
101:		827	(0.0827 ms)
102:		822	(0.0822 ms)
103:		865	(0.0865 ms)
104:		832	(0.0832 ms)
105:		822	(0.0822 ms)
106:		865	(0.0865 ms)
107:		832	(0.0832 ms)
108:		827	(0.0827 ms)
109:		830	(0.083 ms)
110:		877	(0.0877 ms)
111:		822	(0.0822 ms)
112:		825	(0.0825 ms)
113:		862	(0.0862 ms)
114:		826	(0.0826 ms)
115:		822	(0.0822 ms)
116:		857	(0.0857 ms)
117:		825	(0.0825 ms)
118:		838	(0.0838 ms)
119:		859	(0.0859 ms)
120:		823	(0.0823 ms)
121:		822	(0.0822 ms)
122:		869	(0.0869 ms)
123:		822	(0.0822 ms)
124:		797	(0.0797 ms)
125:		861	(0.0861 ms)
126:		828	(0.0828 ms)
127:		821	(0.0821 ms)
128:		869	(0.0869 ms)
129:		830	(0.083 ms)
130:		841	(0.0841 ms)
131:		866	(0.0866 ms)
132:		832	(0.0832 ms)
133:		829	(0.0829 ms)
134:		860	(0.086 ms)
135:		806	(0.0806 ms)
136:		785	(0.0785 ms)
137:		814	(0.0814 ms)
138:		806	(0.0806 ms)
139:		824	(0.0824 ms)
140:		820	(0.082 ms)
141:		865	(0.0865 ms)
142:		835	(0.0835 ms)
143:		824	(0.0824 ms)
144:		876	(0.0876 ms)
145:		826	(0.0826 ms)
146:		825	(0.0825 ms)
147:		865	(0.0865 ms)
148:		834	(0.0834 ms)
149:		826	(0.0826 ms)
150:		868	(0.0868 ms)
151:		829	(0.0829 ms)
152:		825	(0.0825 ms)
153:		862	(0.0862 ms)
154:		842	(0.0842 ms)
155:		824	(0.0824 ms)
156:		860	(0.086 ms)
157:		828	(0.0828 ms)
158:		827	(0.0827 ms)
159:		879	(0.0879 ms)
160:		827	(0.0827 ms)
161:		827	(0.0827 ms)
162:		868	(0.0868 ms)
163:		825	(0.0825 ms)
164:		825	(0.0825 ms)
165:		861	(0.0861 ms)
166:		837	(0.0837 ms)
167:		820	(0.082 ms)
168:		861	(0.0861 ms)
169:		825	(0.0825 ms)
170:		823	(0.0823 ms)
171:		866	(0.0866 ms)
